,Date_reported,Cumulative_cases,Cumulative_deaths
150290,2020-01-03,0,0
150291,2020-01-04,0,0
150292,2020-01-05,0,0
150293,2020-01-06,0,0
150294,2020-01-07,0,0
150295,2020-01-08,0,0
150296,2020-01-09,0,0
150297,2020-01-10,0,0
150298,2020-01-11,0,0
150299,2020-01-12,0,0
150300,2020-01-13,0,0
150301,2020-01-14,0,0
150302,2020-01-15,0,0
150303,2020-01-16,0,0
150304,2020-01-17,0,0
150305,2020-01-18,0,0
150306,2020-01-19,0,0
150307,2020-01-20,5,0
150308,2020-01-21,5,0
150309,2020-01-22,5,0
150310,2020-01-23,5,0
150311,2020-01-24,7,0
150312,2020-01-25,8,0
150313,2020-01-26,9,0
150314,2020-01-27,9,0
150315,2020-01-28,12,0
150316,2020-01-29,12,0
150317,2020-01-30,13,0
150318,2020-01-31,13,0
150319,2020-02-01,13,0
150320,2020-02-02,16,0
150321,2020-02-03,20,0
150322,2020-02-04,57,0
150323,2020-02-05,521,249
150324,2020-02-06,528,249
150325,2020-02-07,533,249
150326,2020-02-08,535,249
150327,2020-02-09,540,249
150328,2020-02-10,548,250
150329,2020-02-11,581,250
150330,2020-02-12,590,250
150331,2020-02-13,599,250
150332,2020-02-14,607,250
150333,2020-02-15,613,250
150334,2020-02-16,619,250
150335,2020-02-17,624,250
150336,2020-02-18,637,250
150337,2020-02-19,655,250
150338,2020-02-20,662,250
150339,2020-02-21,679,251
150340,2020-02-22,693,251
150341,2020-02-23,710,251
150342,2020-02-24,736,251
150343,2020-02-25,759,251
150344,2020-02-26,778,251
150345,2020-02-27,802,251
150346,2020-02-28,846,251
150347,2020-02-29,881,252
150348,2020-03-01,932,252
150349,2020-03-02,968,253
150350,2020-03-03,1054,253
150351,2020-03-04,1132,259
150352,2020-03-05,1303,262
150353,2020-03-06,1446,264
150354,2020-03-07,1611,267
150355,2020-03-08,1829,271
150356,2020-03-09,2091,276
150357,2020-03-10,2446,281
150358,2020-03-11,3042,285
150359,2020-03-12,3716,291
150360,2020-03-13,4569,305
150361,2020-03-14,5713,312
150362,2020-03-15,7080,323
150363,2020-03-16,8930,337
150364,2020-03-17,11733,357
150365,2020-03-18,14669,378
150366,2020-03-19,18708,410
150367,2020-03-20,24789,480
150368,2020-03-21,31994,545
150369,2020-03-22,40265,646
150370,2020-03-23,50309,761
150371,2020-03-24,61911,893
150372,2020-03-25,73297,1063
150373,2020-03-26,85533,1295
150374,2020-03-27,100334,1606
150375,2020-03-28,119676,1959
150376,2020-03-29,140305,2460
150377,2020-03-30,161077,3002
150378,2020-03-31,182442,3580
150379,2020-04-01,204160,4362
150380,2020-04-02,227189,5368
150381,2020-04-03,255792,6506
150382,2020-04-04,285890,7852
150383,2020-04-05,317563,9244
150384,2020-04-06,350026,10826
150385,2020-04-07,377330,12741
150386,2020-04-08,405902,14480
150387,2020-04-09,435944,16608
150388,2020-04-10,469526,18827
150389,2020-04-11,504379,21066
150390,2020-04-12,536548,23283
150391,2020-04-13,568964,25519
150392,2020-04-14,596524,27420
150393,2020-04-15,621688,29386
150394,2020-04-16,647161,31901
150395,2020-04-17,672888,34590
150396,2020-04-18,704549,37022
150397,2020-04-19,734826,39335
150398,2020-04-20,762566,41247
150399,2020-04-21,790561,43273
150400,2020-04-22,816727,45428
150401,2020-04-23,841733,48042
150402,2020-04-24,873041,50286
150403,2020-04-25,905652,52243
150404,2020-04-26,939597,54344
150405,2020-04-27,973059,56193
150406,2020-04-28,1001041,57764
150407,2020-04-29,1025240,59337
150408,2020-04-30,1048872,61475
150409,2020-05-01,1077741,63862
150410,2020-05-02,1110220,66094
150411,2020-05-03,1140364,67981
150412,2020-05-04,1168292,69533
150413,2020-05-05,1196583,70996
150414,2020-05-06,1217743,72336
150415,2020-05-07,1241179,74775
150416,2020-05-08,1265659,77067
150417,2020-05-09,1297502,79167
150418,2020-05-10,1326327,80804
150419,2020-05-11,1352410,82280
150420,2020-05-12,1373703,83397
150421,2020-05-13,1393192,84548
150422,2020-05-14,1417761,86089
150423,2020-05-15,1441349,87737
150424,2020-05-16,1471302,89515
150425,2020-05-17,1499062,91026
150426,2020-05-18,1525102,92216
150427,2020-05-19,1544492,93182
150428,2020-05-20,1569002,94222
150429,2020-05-21,1590686,95429
150430,2020-05-22,1616367,96733
150431,2020-05-23,1642608,97809
150432,2020-05-24,1669300,99612
150433,2020-05-25,1690300,100524
150434,2020-05-26,1711885,101352
150435,2020-05-27,1730327,102105
150436,2020-05-28,1745944,103008
150437,2020-05-29,1767772,104322
150438,2020-05-30,1793771,105481
150439,2020-05-31,1818571,106485
150440,2020-06-01,1842847,107360
150441,2020-06-02,1863366,108074
150442,2020-06-03,1880125,108803
150443,2020-06-04,1901469,109728
150444,2020-06-05,1924475,110752
150445,2020-06-06,1947774,111610
150446,2020-06-07,1973021,112464
150447,2020-06-08,1996805,113126
150448,2020-06-09,2014882,113713
150449,2020-06-10,2032675,114554
150450,2020-06-11,2052337,115420
150451,2020-06-12,2076929,116254
150452,2020-06-13,2101262,117084
150453,2020-06-14,2131051,117812
150454,2020-06-15,2156858,118462
150455,2020-06-16,2177625,118953
150456,2020-06-17,2199053,119554
150457,2020-06-18,2226164,120269
150458,2020-06-19,2255706,120947
150459,2020-06-20,2287898,121583
150460,2020-06-21,2323965,122276
150461,2020-06-22,2360763,122845
150462,2020-06-23,2390227,123250
150463,2020-06-24,2420200,123833
150464,2020-06-25,2459338,124611
150465,2020-06-26,2500348,125313
150466,2020-06-27,2553126,127809
150467,2020-06-28,2605596,128496
150468,2020-06-29,2653763,129080
150469,2020-06-30,2696087,129561
150470,2020-07-01,2735250,130098
150471,2020-07-02,2783028,130801
150472,2020-07-03,2844918,131588
150473,2020-07-04,2904568,132299
150474,2020-07-05,2968236,133082
150475,2020-07-06,3021245,133653
150476,2020-07-07,3062664,134223
150477,2020-07-08,3108565,134938
150478,2020-07-09,3169429,135904
150479,2020-07-10,3237417,136993
150480,2020-07-11,3307861,137874
150481,2020-07-12,3382285,138753
150482,2020-07-13,3453006,139633
150483,2020-07-14,3513161,140496
150484,2020-07-15,3567903,141361
150485,2020-07-16,3633270,142380
150486,2020-07-17,3707493,143551
150487,2020-07-18,3781504,144643
150488,2020-07-19,3859396,145734
150489,2020-07-20,3927993,146733
150490,2020-07-21,3985945,147714
150491,2020-07-22,4045413,148741
150492,2020-07-23,4108088,150070
150493,2020-07-24,4178470,151268
150494,2020-07-25,4250225,152520
150495,2020-07-26,4322499,153854
150496,2020-07-27,4380496,155001
